org_id,pc1,pc2
ORG_450431501,0.039480887,-0.101707734
ORG_222483963,0.0015363648,-0.14131145
ORG_222978129,-0.09879405,0.2599052
ORG_363151279,0.04557497,0.0015791606
ORG_471284283,0.03945813,-0.15380444
ORG_262266476,0.132066,0.10387983
ORG_231401564,0.11208657,0.296705
ORG_237248316,0.0029021418,0.21354985
ORG_471133466,0.010959999,0.06590361
ORG_133779481,0.18930906,0.051854298
ORG_311353685,0.19641751,0.12141927
ORG_842196750,0.076724865,-0.01697274
ORG_872697692,0.08637005,0.17437024
ORG_232376558,0.056833558,0.16192314
ORG_231386198,-0.100966975,0.3764523
ORG_042736585,0.07168065,-0.06609359
ORG_521711309,0.175332,0.15204844
ORG_522024493,0.057995923,-0.060123153
ORG_232623819,0.1148809,0.31468242
ORG_420819319,0.14874291,0.24710996
ORG_237414779,-0.0039046956,0.23651451
ORG_351964901,0.02506553,-0.10968434
ORG_362317610,-0.010362638,-0.065415055
ORG_883352646,0.0041448358,-0.074547514
ORG_223219499,-0.12075773,-0.031064792
ORG_541110133,0.024997527,0.004976035
ORG_902797500,0.10256292,-0.026850378
ORG_111681671,0.055978086,-0.09673251
ORG_550527698,0.04990009,0.27691653
ORG_132938964,0.043902222,0.1671011
ORG_010214017,0.021009985,-0.101832196
ORG_350886981,-0.09392063,0.31677172
ORG_251534235,-0.05090594,0.033997994
ORG_844963090,0.0112815155,-0.12972838
ORG_237271852,0.026839875,0.43881077
ORG_473373953,0.122611314,-0.105543055
ORG_346570431,-0.017039763,-0.09959699
ORG_202918958,-0.013203131,-0.12829973
ORG_231915333,0.017153256,0.24533147
ORG_453435623,0.067148104,-0.091856234
ORG_251869408,0.005225347,0.076053694
ORG_562105879,0.02848233,-0.061625086
ORG_133768443,-0.010025471,-0.12521045
ORG_550727794,0.04798357,-0.007941464
ORG_842022262,0.112039536,-0.17243876
ORG_271530388,0.042163763,-0.15452011
ORG_263317656,0.004738067,0.029125826
ORG_854287652,0.023713727,-0.091189235
ORG_800193059,-0.0153536275,-0.16444752
ORG_611692051,0.049522787,-0.09976646
ORG_832008634,0.046726733,-0.0845804
ORG_833893394,0.02432008,-0.0916879
ORG_453576912,0.02424957,0.044053115
ORG_156000829,0.026307,-0.13445619
ORG_133949950,0.096012324,-0.22224966
ORG_411926728,-0.004874506,-0.13706425
ORG_331037188,-0.0042821276,0.040145226
ORG_350874281,-0.047745995,0.2658966
ORG_454103159,-0.20709789,0.043931413
ORG_060845763,0.037097376,-0.04674986
ORG_273083994,-0.0153495055,-0.035188198
ORG_311237943,-0.041062884,-0.1226173
ORG_382165556,0.099706866,0.23818247
ORG_020272095,0.045382123,-0.07584731
ORG_814532089,0.02134212,0.16138974
ORG_261120263,-0.03721295,-0.1085788
ORG_237390594,0.0842618,-0.06422429
ORG_275051293,-0.024415925,-0.049684327
ORG_472005512,0.035930272,0.06007104
ORG_200384120,0.117267095,0.18121582
ORG_562630579,0.09445557,0.17796181
ORG_471676099,0.080797486,-0.04841759
ORG_363496537,0.051718913,0.0029026838
ORG_412275163,-0.20734558,0.03808517
ORG_204002778,0.030846404,-0.013350643
ORG_815481313,0.060246658,0.050128702
ORG_842207453,-0.123053625,-0.023500701
ORG_833486824,-0.012406331,-0.08411312
ORG_262902518,0.14121318,0.24084188
ORG_510172078,0.04241908,-0.17407683
ORG_113658144,-0.011548805,-0.10950029
ORG_273710500,0.056116603,-0.03673016
ORG_452351381,0.08171415,-0.04961054
ORG_521704037,0.075308934,0.24739997
ORG_520848408,0.056107122,0.019302942
ORG_320082431,0.03432212,0.15674625
ORG_042997446,0.0044910484,-0.1122142
ORG_411384426,0.06001624,0.041003443
ORG_452838281,0.079503514,0.217913
ORG_455428563,0.060123585,-0.015362112
ORG_371849864,0.1948868,0.12997538
ORG_811191987,0.074759014,0.20495486
ORG_844687278,0.040089693,-0.049480464
ORG_922845339,0.029028723,-0.04252412
ORG_823282038,0.05915308,0.18571883
ORG_561688330,-0.04904232,0.006112199
ORG_510251655,-0.031024665,-0.027450223
ORG_222452625,0.029101571,-0.042232238
ORG_416001474,-0.042442303,-0.08936552
ORG_100001184,0.05759745,-0.0060282047
ORG_450339622,0.077306814,0.20227706
ORG_061493789,0.07419915,-0.010678822
ORG_931230642,0.055415645,-0.059029527
ORG_351978023,0.007922743,-0.074792035
ORG_680657235,0.102813184,-0.037374932
ORG_463243346,-0.33274823,0.02878994
ORG_232879316,0.12348224,-0.05988231
ORG_421476116,-0.12030317,-0.032866437
ORG_540898392,-0.0600105,0.035675436
ORG_843835735,0.0229728,-0.12211942
ORG_842279408,0.007470684,-0.026647879
ORG_454268893,0.11077164,0.15857857
ORG_166091701,0.06684444,-0.022329241
